Zone_A,Zone_B,Strength
3,14,75160.0
3,5,64211.0
2,3,61694.0
5,14,61336.0
2,14,58103.0
3,9,52362.0
2,5,49060.0
9,14,34803.0
4,14,32943.0
4,5,31109.0
3,4,29828.0
5,9,29452.0
2,9,28306.0
2,4,25580.0
10,14,24247.0
5,10,20505.0
3,10,19764.0
2,10,17735.0
4,10,16087.0
4,9,14148.0
6,14,11590.0
3,13,11456.0
7,14,11101.0
5,6,10920.0
9,10,9773.0
3,6,9733.0
1,14,9083.0
2,6,8971.0
13,14,8802.0
4,6,8696.0
5,7,8512.0
3,7,8197.0
1,3,7924.0
5,13,7461.0
1,5,7371.0
2,7,7235.0
1,2,6844.0
2,13,6718.0
6,10,5687.0
4,7,5665.0
1,4,5506.0
6,9,4831.0
7,10,4615.0
1,10,4382.0
7,9,3947.0
6,7,3916.0
12,14,3898.0
1,9,3861.0
4,13,3433.0
5,12,3075.0
10,12,3044.0
3,12,2891.0
2,12,2860.0
9,13,2777.0
10,13,2469.0
4,12,2461.0
1,6,2359.0
1,7,2021.0
9,12,1491.0
6,13,1236.0
7,13,1193.0
6,12,1182.0
7,12,1147.0
1,13,999.0
1,12,974.0
0,14,533.0
11,14,463.0
12,13,431.0
0,3,415.0
5,11,390.0
0,5,373.0
3,11,341.0
0,2,337.0
2,11,322.0
4,11,302.0
6,11,246.0
0,4,233.0
10,11,218.0
0,10,198.0
7,11,197.0
1,11,196.0
9,11,150.0
0,13,141.0
0,9,126.0
0,6,94.0
0,1,88.0
3,8,81.0
11,12,77.0
0,7,77.0
8,9,59.0
7,8,55.0
0,12,55.0
11,13,40.0
5,8,5.0
0,11,4.0
2,8,4.0
8,13,1.0
8,14,1.0
0,8,0.0
4,8,0.0
1,8,0.0
6,8,0.0
8,11,0.0
8,12,0.0
8,10,0.0
