Product,Zone_ID,Frequency
holi pichkari & water guns,0,272
holi herbal gulal,0,262
holi baloon,0,258
holi gulal,0,163
holi water color,0,119
holi t shirt,0,94
other holi items,0,93
holi color spray,0,77
holi smoke,0,45
holi hat and wig,0,44
holi chandan,0,35
battery,1,3023
razors & blades,1,2746
cigarettes,1,2545
other stationery items,1,1515
wax polishes,1,618
dog food,1,488
ointments,1,435
sanitizers,1,389
tooth pick,1,375
contraceptives,1,270
liquid polishes,1,216
flavoured water,1,215
cigarettes accessories,1,196
diy accessories,1,192
scissors,1,170
baby cereal,1,168
intimate wash,1,164
disinfectants,1,162
infant formula,1,122
led & cfl,1,116
toilet seat sanitizer spray,1,115
tampons,1,115
baby care accessories,1,88
murabba,1,72
locks,1,71
cough & cold,1,69
artificial flowers,1,51
isabgol,1,38
masks & face shields,1,28
ready made mixes,1,26
tonic water,1,22
breads,2,20164
dahi,2,17497
noodles,2,15515
salad dressing & spreads,2,10501
sauces,2,10397
cheese,2,10054
butter,2,9207
other milk products,2,9005
frozen veg snacks,2,8941
south indian mixes,2,6019
pastas,2,5203
other breads,2,4089
yogurt,2,3898
frozen peas & corn,2,3750
pickles,2,3720
frozen non veg snacks,2,3625
instant noodles,2,3527
seasonings,2,3137
cooking paste,2,2949
imported coffee,2,2858
instant mixes,2,2698
continental desserts,2,2666
vinegar,2,1744
baking needs,2,1524
brown eggs,2,1351
veg powdered soups,2,1303
indian heat & eat,2,1277
jams,2,1177
dairy whitener,2,921
essence,2,908
dessert toppings,2,856
condensed milk,2,822
coconut milk,2,748
cocoa powder & hot chocolate,2,631
imported sauces,2,619
imported cheese,2,601
chutney,2,586
flavoured health drink,2,569
sweetners,2,464
frozen parathas,2,396
canned fruits,2,276
wraps,2,192
almond milk,2,168
imported jams,2,164
indian desserts,2,118
non veg powdered soups,2,116
canned non veg,2,101
tomato,3,44424
cucumber,3,37338
onion,3,35365
banana,3,32818
leafy vegetables,3,32466
potato,3,32389
paneer,3,31706
apple,3,30678
lemon,3,29218
carrot,3,24566
capsicum,3,24122
ginger,3,23414
plain milk,3,22661
bottle gourd,3,22125
okra,3,19804
cauliflower,3,18952
exotic vegetables,3,18167
beans,3,17759
chilli,3,15850
papaya,3,15622
brinjal,3,15310
garlic,3,13857
mushroom,3,13273
pear,3,11972
orange,3,11946
pumpkin,3,11867
peas,3,10791
pomegrante,3,10665
raddish,3,9853
beet root,3,9502
guava,3,8518
grapes,3,8313
coconut,3,7093
kiwi,3,7072
cabbage,3,6540
corn,3,6087
gooseberry,3,5700
blueberry,3,4696
white eggs,3,4681
avocado,3,4004
pineapple,3,3346
pitaya,3,3281
cherry,3,3095
sapota,3,2600
jack fruit,3,1773
turmeric,3,1686
lotus stem,3,1623
zucchini,3,532
tamarind,3,255
tissue rolls,4,9880
toothpaste,4,8863
soaps,4,7772
detergent powders,4,6506
garbage bags,4,5818
handwash,4,5362
utensil cleaner bars,4,5159
toilet cleaners,4,4858
room freshners,4,4495
utensil cleaner liquids,4,4455
detergent liquids,4,4259
toothbrush,4,4073
floor cleaners,4,3121
sanitary pads,4,2876
mosquito repellents,4,2654
detergent bars,4,2636
fabric softeners,4,2566
scrubber,4,2226
cling films & food wrapping paper,4,1986
aluminium foils,4,1941
glass cleaners,4,1940
phenyls,4,1359
insect killers,4,1319
face tissues,4,1238
toilet freshers,4,1181
shoe care accessories,4,995
whitening agents,4,883
stain removers,4,825
antiseptics,4,791
rodent killers,4,750
utensil cleaner powders,4,715
